time,popularity
2006-01,10
2006-02,13
2006-03,10
2006-04,13
2006-05,17
2006-06,19
2006-07,9
2006-08,5
2006-09,5
2006-10,8
2006-11,10
2006-12,12
2007-01,11
2007-02,14
2007-03,11
2007-04,15
2007-05,19
2007-06,18
2007-07,9
2007-08,5
2007-09,5
2007-10,8
2007-11,10
2007-12,10
2008-01,10
2008-02,14
2008-03,13
2008-04,16
2008-05,20
2008-06,20
2008-07,8
2008-08,5
2008-09,5
2008-10,9
2008-11,11
2008-12,11
2009-01,11
2009-02,16
2009-03,11
2009-04,16
2009-05,22
2009-06,20
2009-07,9
2009-08,5
2009-09,5
2009-10,10
2009-11,11
2009-12,11
2010-01,12
2010-02,16
2010-03,11
2010-04,16
2010-05,21
2010-06,24
2010-07,15
2010-08,7
2010-09,7
2010-10,13
2010-11,15
2010-12,16
2011-01,18
2011-02,26
2011-03,19
2011-04,29
2011-05,35
2011-06,33
2011-07,8
2011-08,6
2011-09,6
2011-10,9
2011-11,12
2011-12,22
2012-01,21
2012-02,29
2012-03,25
2012-04,26
2012-05,39
2012-06,50
2012-07,19
2012-08,10
2012-09,8
2012-10,15
2012-11,20
2012-12,22
2013-01,24
2013-02,28
2013-03,26
2013-04,33
2013-05,41
2013-06,50
2013-07,17
2013-08,9
2013-09,7
2013-10,15
2013-11,22
2013-12,23
2014-01,22
2014-02,25
2014-03,23
2014-04,35
2014-05,47
2014-06,41
2014-07,20
2014-08,10
2014-09,8
2014-10,16
2014-11,23
2014-12,25
2015-01,24
2015-02,26
2015-03,22
2015-04,38
2015-05,46
2015-06,53
2015-07,17
2015-08,9
2015-09,9
2015-10,16
2015-11,26
2015-12,29
2016-01,32
2016-02,37
2016-03,33
2016-04,54
2016-05,74
2016-06,81
2016-07,25
2016-08,11
2016-09,13
2016-10,21
2016-11,33
2016-12,83
2017-01,38
2017-02,42
2017-03,38
2017-04,64
2017-05,70
2017-06,81
2017-07,27
2017-08,16
2017-09,16
2017-10,34
2017-11,43
2017-12,41
2018-01,46
2018-02,48
2018-03,43
2018-04,80
2018-05,100
2018-06,66
2018-07,27
2018-08,13
2018-09,15
2018-10,36
2018-11,47
2018-12,47
2019-01,49
2019-02,52
2019-03,47
2019-04,78
2019-05,97
2019-06,77
2019-07,28
2019-08,12
2019-09,12
2019-10,34
2019-11,47
2019-12,46
